anggota_kk,pendapatan,kondisi_rumah,sumber_air_minum,akses_listrik,kepemilikan_aset,pekerjaan,status_kepemilikan_rumah,penghasilan_dibawah_ump,aset_produktif,akses_pendidikan,akses_kesehatan,akses_sanitasi,akses_listrik_ump,rumah_tidak_layak_huni,skor_kemiskinan,kategori_asesmen,rekomendasi_bantuan
8,3743776,Semi Permanen,PAM,PLN,Ada,Buruh Harian Lepas,Kontrak,1,0,1,1,1,0,0,60,Miskin,PKH
6,2272458,Permanen,PAM,PLN,Tidak Ada,Pedagang Kecil,Kontrak,1,1,0,1,0,0,0,60,Miskin,PKH
5,6416608,Semi Permanen,Sungai,Tidak Ada,Tidak Ada,Pegawai Swasta,Milik Sendiri,0,0,1,1,1,1,0,25,Tidak Miskin,Tidak Layak Menerima
6,9082330,Permanen,Sumur,Tidak Ada,Tidak Ada,Pedagang Kecil,Sewa,0,0,1,0,1,1,0,30,Rentan Miskin,BLT
7,9694524,Tidak Permanen,PAM,Tidak Ada,Ada,Pedagang Kecil,Milik Sendiri,0,0,1,1,0,1,1,55,Miskin,PKH
2,6247404,Semi Permanen,Sumur,Tidak Ada,Tidak Ada,Petani,Kontrak,0,0,1,1,1,1,0,25,Tidak Miskin,Tidak Layak Menerima
7,4700675,Permanen,Sumur,PLN,Ada,Petani,Kontrak,0,1,1,1,0,0,0,40,Rentan Miskin,BLT
2,4562907,Permanen,Sungai,PLN,Tidak Ada,Pegawai Swasta,Kontrak,0,1,1,1,1,0,0,25,Tidak Miskin,Tidak Layak Menerima
6,4104555,Permanen,Sungai,Tidak Ada,Ada,Petani,Sewa,1,0,1,1,1,1,0,50,Miskin,PKH
8,9389578,Tidak Permanen,Sungai,Listrik Non-PLN,Ada,Pedagang Kecil,Sewa,0,0,1,1,1,0,1,60,Miskin,PKH
5,7331264,Tidak Permanen,PAM,PLN,Ada,Buruh Harian Lepas,Kontrak,0,1,1,0,1,0,1,50,Miskin,PKH
3,9630238,Permanen,Sungai,Listrik Non-PLN,Tidak Ada,Petani,Sewa,0,0,1,0,0,0,0,45,Rentan Miskin,BLT
4,2221393,Permanen,Sungai,Tidak Ada,Ada,Petani,Sewa,1,0,0,1,1,1,0,45,Rentan Miskin,BLT
2,1892494,Tidak Permanen,Sungai,PLN,Ada,Petani,Kontrak,1,0,0,0,0,0,1,85,Sangat Miskin,Bantuan Sembako
6,7483174,Tidak Permanen,Sumur,PLN,Ada,Petani,Sewa,0,0,1,0,0,0,1,70,Sangat Miskin,Bantuan Sembako
8,6508879,Tidak Permanen,Sumur,Tidak Ada,Ada,Pegawai Swasta,Sewa,0,0,0,0,1,1,1,50,Miskin,PKH
6,1060821,Semi Permanen,Sumur,Tidak Ada,Ada,Pegawai Swasta,Milik Sendiri,1,0,1,0,0,1,0,55,Miskin,PKH
2,4862147,Semi Permanen,Sumur,Tidak Ada,Ada,Pegawai Swasta,Kontrak,0,0,0,1,0,1,0,35,Rentan Miskin,BLT
1,565217,Permanen,Sumur,Tidak Ada,Ada,Pegawai Swasta,Milik Sendiri,1,0,1,1,1,1,0,40,Rentan Miskin,BLT
8,1795749,Permanen,Sungai,Listrik Non-PLN,Ada,Petani,Milik Sendiri,1,1,0,1,0,0,0,55,Miskin,PKH
8,913546,Tidak Permanen,Sumur,PLN,Tidak Ada,Pegawai Swasta,Kontrak,1,0,0,1,1,0,1,80,Sangat Miskin,Bantuan Sembako
1,4528469,Semi Permanen,Sumur,Listrik Non-PLN,Ada,Buruh Harian Lepas,Sewa,0,1,0,1,1,0,0,25,Tidak Miskin,Tidak Layak Menerima
4,2256291,Tidak Permanen,Sungai,Listrik Non-PLN,Tidak Ada,Pedagang Kecil,Sewa,1,1,1,0,1,0,1,65,Miskin,PKH
5,2398804,Permanen,Sungai,Listrik Non-PLN,Tidak Ada,Petani,Sewa,1,0,0,1,1,0,0,60,Miskin,PKH
7,6484435,Permanen,PAM,PLN,Ada,Buruh Harian Lepas,Milik Sendiri,0,1,0,1,0,0,0,35,Rentan Miskin,BLT
4,5491989,Tidak Permanen,Sumur,Tidak Ada,Tidak Ada,Pegawai Swasta,Kontrak,0,1,0,0,1,1,1,35,Rentan Miskin,BLT
1,4779311,Tidak Permanen,PAM,Listrik Non-PLN,Tidak Ada,Pedagang Kecil,Kontrak,0,1,0,0,1,0,1,45,Rentan Miskin,BLT
2,1668489,Tidak Permanen,PAM,PLN,Ada,Petani,Kontrak,1,1,0,0,1,0,1,65,Miskin,PKH
8,9361928,Tidak Permanen,PAM,Listrik Non-PLN,Ada,Buruh Harian Lepas,Kontrak,0,1,1,0,1,0,1,50,Miskin,PKH
3,1959500,Permanen,Sungai,Listrik Non-PLN,Tidak Ada,Pedagang Kecil,Sewa,1,1,1,1,0,0,0,55,Miskin,PKH
2,1554254,Semi Permanen,Sumur,PLN,Tidak Ada,Pegawai Swasta,Sewa,1,1,1,1,1,0,0,45,Rentan Miskin,BLT
5,2022426,Semi Permanen,Sumur,Tidak Ada,Ada,Petani,Sewa,1,0,0,1,0,1,0,60,Miskin,PKH
5,3088720,Semi Permanen,Sumur,PLN,Tidak Ada,Pedagang Kecil,Milik Sendiri,1,1,0,1,1,0,0,45,Rentan Miskin,BLT
6,9826841,Semi Permanen,PAM,Listrik Non-PLN,Ada,Pedagang Kecil,Milik Sendiri,0,1,0,1,1,0,0,25,Tidak Miskin,Tidak Layak Menerima
1,5898040,Semi Permanen,Sumur,Tidak Ada,Tidak Ada,Petani,Milik Sendiri,0,0,1,1,1,1,0,20,Tidak Miskin,Tidak Layak Menerima
7,7388474,Semi Permanen,Sungai,PLN,Tidak Ada,Pedagang Kecil,Sewa,0,0,0,0,0,0,0,50,Miskin,PKH
6,4295772,Tidak Permanen,Sumur,PLN,Ada,Pedagang Kecil,Sewa,1,1,0,0,1,0,1,70,Sangat Miskin,Bantuan Sembako
8,1934013,Permanen,PAM,Tidak Ada,Tidak Ada,Pedagang Kecil,Kontrak,1,0,0,0,0,1,0,60,Miskin,PKH
1,2769511,Semi Permanen,Sumur,Listrik Non-PLN,Tidak Ada,Buruh Harian Lepas,Sewa,1,0,0,1,1,0,0,55,Miskin,PKH
5,2323596,Semi Permanen,Sungai,Tidak Ada,Tidak Ada,Buruh Harian Lepas,Sewa,1,1,0,0,1,1,0,40,Rentan Miskin,BLT
5,5039354,Permanen,PAM,Listrik Non-PLN,Tidak Ada,Buruh Harian Lepas,Sewa,0,0,1,1,0,0,0,50,Miskin,PKH
1,4110202,Tidak Permanen,Sumur,Listrik Non-PLN,Tidak Ada,Buruh Harian Lepas,Sewa,1,1,0,1,0,0,1,75,Sangat Miskin,Bantuan Sembako
1,1022936,Permanen,Sungai,Listrik Non-PLN,Ada,Pedagang Kecil,Kontrak,1,1,0,1,0,0,0,55,Miskin,PKH
4,7794722,Semi Permanen,Sungai,PLN,Ada,Buruh Harian Lepas,Sewa,0,0,1,1,1,0,0,35,Rentan Miskin,BLT
2,8760999,Permanen,PAM,PLN,Tidak Ada,Pegawai Swasta,Sewa,0,0,0,1,1,0,0,35,Rentan Miskin,BLT
5,5821634,Semi Permanen,Sumur,PLN,Ada,Petani,Milik Sendiri,0,1,1,0,1,0,0,25,Tidak Miskin,Tidak Layak Menerima
3,8113962,Tidak Permanen,Sumur,PLN,Tidak Ada,Pedagang Kecil,Sewa,0,0,0,1,1,0,1,55,Miskin,PKH
6,6584810,Permanen,Sumur,Tidak Ada,Ada,Buruh Harian Lepas,Kontrak,0,1,1,1,0,1,0,30,Rentan Miskin,BLT
8,2519423,Tidak Permanen,Sungai,Tidak Ada,Tidak Ada,Petani,Sewa,1,0,0,1,0,1,1,80,Sangat Miskin,Bantuan Sembako
2,1493186,Semi Permanen,Sumur,Listrik Non-PLN,Ada,Buruh Harian Lepas,Kontrak,1,0,0,0,1,0,0,55,Miskin,PKH
8,3928237,Permanen,Sumur,Listrik Non-PLN,Tidak Ada,Pegawai Swasta,Sewa,1,1,0,1,1,0,0,50,Miskin,PKH
7,2240979,Semi Permanen,PAM,Listrik Non-PLN,Ada,Buruh Harian Lepas,Kontrak,1,0,0,0,1,0,0,60,Miskin,PKH
4,3274126,Semi Permanen,Sumur,Tidak Ada,Ada,Pedagang Kecil,Milik Sendiri,1,1,1,1,0,1,0,40,Rentan Miskin,BLT
1,3679951,Permanen,Sungai,PLN,Tidak Ada,Buruh Harian Lepas,Kontrak,1,1,1,1,0,0,0,55,Miskin,PKH
8,1633781,Tidak Permanen,Sungai,PLN,Ada,Buruh Harian Lepas,Milik Sendiri,1,1,1,0,1,0,1,65,Miskin,PKH
7,4912136,Semi Permanen,Sumur,Tidak Ada,Ada,Petani,Sewa,0,1,0,0,0,1,0,30,Rentan Miskin,BLT
7,8834671,Permanen,Sumur,PLN,Tidak Ada,Petani,Milik Sendiri,0,1,0,1,0,0,0,35,Rentan Miskin,BLT
2,7851487,Semi Permanen,Sungai,Listrik Non-PLN,Ada,Pedagang Kecil,Sewa,0,0,0,0,1,0,0,35,Rentan Miskin,BLT
3,7454627,Permanen,Sumur,PLN,Ada,Pedagang Kecil,Kontrak,0,0,0,0,1,0,0,35,Rentan Miskin,BLT
4,4174075,Semi Permanen,Sumur,PLN,Tidak Ada,Pegawai Swasta,Milik Sendiri,1,1,0,1,0,0,0,50,Miskin,PKH
3,6010821,Semi Permanen,Sungai,Tidak Ada,Ada,Pedagang Kecil,Milik Sendiri,0,1,1,0,1,1,0,10,Tidak Miskin,Tidak Layak Menerima
2,840116,Permanen,Sungai,Tidak Ada,Tidak Ada,Petani,Kontrak,1,0,1,1,0,1,0,55,Miskin,PKH
6,4055934,Semi Permanen,PAM,PLN,Ada,Petani,Kontrak,1,0,0,0,0,0,0,70,Sangat Miskin,Bantuan Sembako
4,7204709,Permanen,Sungai,Listrik Non-PLN,Tidak Ada,Pedagang Kecil,Milik Sendiri,0,1,1,1,1,0,0,20,Tidak Miskin,Tidak Layak Menerima
7,5194103,Permanen,Sungai,Listrik Non-PLN,Tidak Ada,Petani,Kontrak,0,0,0,0,0,0,0,50,Miskin,PKH
7,4477503,Permanen,Sungai,Tidak Ada,Tidak Ada,Petani,Kontrak,1,1,1,0,0,1,0,50,Miskin,PKH
8,984156,Semi Permanen,PAM,Tidak Ada,Ada,Petani,Kontrak,1,0,1,0,0,1,0,60,Miskin,PKH
6,1586683,Tidak Permanen,PAM,PLN,Ada,Buruh Harian Lepas,Sewa,1,0,1,1,1,0,1,80,Sangat Miskin,Bantuan Sembako
6,6283042,Permanen,Sungai,PLN,Ada,Buruh Harian Lepas,Milik Sendiri,0,0,1,0,0,0,0,45,Rentan Miskin,BLT
5,3020217,Permanen,PAM,Tidak Ada,Tidak Ada,Buruh Harian Lepas,Sewa,1,1,0,0,0,1,0,50,Miskin,PKH
6,8643392,Tidak Permanen,Sumur,PLN,Tidak Ada,Pedagang Kecil,Kontrak,0,1,0,1,1,0,1,50,Miskin,PKH
8,7477288,Semi Permanen,PAM,PLN,Ada,Buruh Harian Lepas,Kontrak,0,0,1,0,1,0,0,40,Rentan Miskin,BLT
4,9523261,Permanen,Sumur,Tidak Ada,Ada,Pegawai Swasta,Milik Sendiri,0,1,1,0,1,1,0,10,Tidak Miskin,Tidak Layak Menerima
2,6388342,Semi Permanen,Sumur,PLN,Tidak Ada,Pedagang Kecil,Sewa,0,1,0,0,0,0,0,35,Rentan Miskin,BLT
5,1859358,Permanen,Sumur,Tidak Ada,Ada,Pedagang Kecil,Milik Sendiri,1,1,0,1,1,1,0,35,Rentan Miskin,BLT
8,2485123,Permanen,Sumur,Listrik Non-PLN,Ada,Buruh Harian Lepas,Milik Sendiri,1,0,1,0,0,0,0,65,Miskin,PKH
2,2328714,Permanen,Sumur,Tidak Ada,Tidak Ada,Pegawai Swasta,Kontrak,1,1,1,1,0,1,0,45,Rentan Miskin,BLT
6,7990852,Permanen,Sungai,Tidak Ada,Ada,Pegawai Swasta,Kontrak,0,0,1,1,0,1,0,40,Rentan Miskin,BLT
5,8530930,Semi Permanen,PAM,Tidak Ada,Ada,Buruh Harian Lepas,Milik Sendiri,0,0,0,1,0,1,0,35,Rentan Miskin,BLT
7,6676928,Semi Permanen,PAM,PLN,Ada,Buruh Harian Lepas,Kontrak,0,0,0,0,1,0,0,40,Rentan Miskin,BLT
7,4183228,Permanen,PAM,Listrik Non-PLN,Tidak Ada,Pedagang Kecil,Kontrak,1,0,0,0,0,0,0,70,Sangat Miskin,Bantuan Sembako
7,4484042,Permanen,Sungai,Listrik Non-PLN,Ada,Buruh Harian Lepas,Sewa,1,1,1,1,1,0,0,50,Miskin,PKH
5,2839024,Tidak Permanen,Sumur,Tidak Ada,Tidak Ada,Pedagang Kecil,Milik Sendiri,1,0,1,0,0,1,1,75,Sangat Miskin,Bantuan Sembako
3,9396159,Tidak Permanen,PAM,Tidak Ada,Ada,Buruh Harian Lepas,Milik Sendiri,0,1,1,1,0,1,1,40,Rentan Miskin,BLT
7,5034543,Permanen,PAM,PLN,Tidak Ada,Pedagang Kecil,Sewa,0,1,0,1,0,0,0,40,Rentan Miskin,BLT
8,9255399,Permanen,Sumur,Listrik Non-PLN,Ada,Pegawai Swasta,Kontrak,0,0,1,0,1,0,0,40,Rentan Miskin,BLT
6,684538,Semi Permanen,Sungai,Listrik Non-PLN,Ada,Pedagang Kecil,Kontrak,1,0,1,1,0,0,0,70,Sangat Miskin,Bantuan Sembako
4,1977005,Permanen,PAM,PLN,Tidak Ada,Pedagang Kecil,Milik Sendiri,1,0,0,0,0,0,0,60,Miskin,PKH
2,8829873,Permanen,Sumur,Listrik Non-PLN,Ada,Buruh Harian Lepas,Milik Sendiri,0,1,1,1,0,0,0,30,Rentan Miskin,BLT
7,3622620,Permanen,Sumur,PLN,Tidak Ada,Pegawai Swasta,Milik Sendiri,1,0,0,1,1,0,0,55,Miskin,PKH
1,5289277,Tidak Permanen,Sumur,PLN,Tidak Ada,Buruh Harian Lepas,Sewa,0,0,0,0,0,0,1,65,Miskin,PKH
4,3910523,Semi Permanen,Sumur,Listrik Non-PLN,Tidak Ada,Pegawai Swasta,Milik Sendiri,1,0,0,1,1,0,0,50,Miskin,PKH
4,9809443,Permanen,PAM,PLN,Ada,Buruh Harian Lepas,Sewa,0,0,1,1,0,0,0,45,Rentan Miskin,BLT
2,4101922,Semi Permanen,Sumur,Listrik Non-PLN,Tidak Ada,Pedagang Kecil,Sewa,1,0,0,0,1,0,0,55,Miskin,PKH
6,669505,Semi Permanen,Sungai,Listrik Non-PLN,Ada,Pegawai Swasta,Sewa,1,1,0,0,0,0,0,60,Miskin,PKH
5,5350492,Permanen,PAM,PLN,Tidak Ada,Pegawai Swasta,Sewa,0,1,1,0,0,0,0,40,Rentan Miskin,BLT
8,7927910,Semi Permanen,Sungai,PLN,Tidak Ada,Pedagang Kecil,Milik Sendiri,0,1,1,1,1,0,0,25,Tidak Miskin,Tidak Layak Menerima
3,6411466,Semi Permanen,PAM,Listrik Non-PLN,Ada,Buruh Harian Lepas,Sewa,0,1,1,1,0,0,0,35,Rentan Miskin,BLT
3,2528581,Tidak Permanen,Sumur,Tidak Ada,Tidak Ada,Pegawai Swasta,Sewa,1,1,1,1,0,1,1,65,Miskin,PKH
1,2995746,Tidak Permanen,Sumur,Tidak Ada,Tidak Ada,Petani,Milik Sendiri,1,1,1,1,0,1,1,60,Miskin,PKH
4,6766963,Tidak Permanen,Sungai,Listrik Non-PLN,Ada,Pegawai Swasta,Kontrak,0,1,1,0,0,0,1,55,Miskin,PKH
4,6528354,Tidak Permanen,Sungai,Tidak Ada,Tidak Ada,Petani,Sewa,0,0,1,1,1,1,1,45,Rentan Miskin,BLT
4,6709481,Semi Permanen,Sumur,Tidak Ada,Tidak Ada,Pegawai Swasta,Kontrak,0,0,1,0,0,1,0,35,Rentan Miskin,BLT
8,1731906,Permanen,Sungai,Tidak Ada,Tidak Ada,Pedagang Kecil,Milik Sendiri,1,0,1,0,1,1,0,45,Rentan Miskin,BLT
6,7096330,Tidak Permanen,Sumur,Tidak Ada,Ada,Buruh Harian Lepas,Milik Sendiri,0,0,1,1,0,1,1,55,Miskin,PKH
7,2782759,Permanen,PAM,Listrik Non-PLN,Tidak Ada,Buruh Harian Lepas,Kontrak,1,1,0,1,0,0,0,60,Miskin,PKH
8,4851576,Tidak Permanen,Sungai,PLN,Tidak Ada,Buruh Harian Lepas,Kontrak,0,0,0,1,0,0,1,70,Sangat Miskin,Bantuan Sembako
8,3318072,Tidak Permanen,Sungai,Listrik Non-PLN,Tidak Ada,Petani,Kontrak,1,0,0,1,0,0,1,90,Sangat Miskin,Bantuan Sembako
4,5929159,Tidak Permanen,Sumur,Tidak Ada,Tidak Ada,Pedagang Kecil,Milik Sendiri,0,0,1,0,1,1,1,40,Rentan Miskin,BLT
4,4812548,Semi Permanen,Sungai,PLN,Tidak Ada,Buruh Harian Lepas,Sewa,0,0,0,0,1,0,0,35,Rentan Miskin,BLT
6,4669493,Permanen,Sumur,PLN,Tidak Ada,Pedagang Kecil,Milik Sendiri,0,0,0,1,0,0,0,45,Rentan Miskin,BLT
8,761106,Permanen,Sumur,Listrik Non-PLN,Tidak Ada,Pedagang Kecil,Kontrak,1,0,1,1,1,0,0,60,Miskin,PKH
2,797490,Permanen,PAM,Tidak Ada,Tidak Ada,Pedagang Kecil,Kontrak,1,0,1,1,0,1,0,55,Miskin,PKH
6,8623255,Semi Permanen,Sumur,Listrik Non-PLN,Tidak Ada,Pedagang Kecil,Kontrak,0,0,1,0,0,0,0,50,Miskin,PKH
1,4448537,Tidak Permanen,Sumur,PLN,Ada,Petani,Milik Sendiri,1,1,1,1,1,0,1,60,Miskin,PKH
3,9141015,Tidak Permanen,PAM,Tidak Ada,Tidak Ada,Pedagang Kecil,Sewa,0,0,0,1,0,1,1,55,Miskin,PKH
2,1638429,Semi Permanen,Sungai,PLN,Tidak Ada,Petani,Milik Sendiri,1,1,1,0,0,0,0,50,Miskin,PKH
8,3643229,Semi Permanen,Sungai,PLN,Tidak Ada,Pedagang Kecil,Sewa,1,1,1,1,0,0,0,60,Miskin,PKH
6,5870946,Permanen,Sungai,Listrik Non-PLN,Tidak Ada,Pegawai Swasta,Kontrak,0,0,0,1,0,0,0,50,Miskin,PKH
